Interpret,Titel,Album,L‰nge,Jahr,Genre,Bewertung,Bitrate,Pfad,Medium
"T9","Aeto Vesna (Varda Remix)","LetoNaMuzTV","3:08",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\41 T9 - Aeto Vesna (Varda Remix).mp3",""
"Literu","Aeto Znaesh' Tol'ko Ty","Vse Zvezdy 2011","3:22",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\071_Literu - Aeto Znaesh' Tol'ko Ty.mp3",""
"Virus","Aetot Veter","XXXLVes2011","5:06",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\15 Virus - Aetot Veter.mp3",""
"B.o.B ft Hayley Williams","Airplanes","DiskKurort","5:11",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\022. B.o.B ft Hayley Williams - Airplanes.mp3",""
"N. Bardo","Alejandro","XXXLVes2011","4:32",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\68 N. Bardo - Alejandro.mp3",""
"Natalya Bardo","Alejandro","DiskKurort","4:33",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\145. Natalya Bardo - Alejandro.mp3",""
"Natal'ya Bardo & DJ Katyusha","Alejandro (DJ Katyusha Radio Remix)","HitNastSummer","3:13",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\35.  Natal'ya Bardo & DJ Katyusha - Alejandro (DJ Katyusha Radio Remix) .mp3",""
"Natal'ya Bardo & DJ Katyusha","Alejandro (DJ Katyusha Radio Remix)","VzrHitParOtRusRad","3:12",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\096. Natal'ya Bardo & DJ Katyusha - Alejandro (DJ Katyusha Radio Remix).mp3",""
"Natal'ya Bardo","Alejandro (DJ Michelangelo Dance Edit)","HitNastSummer","3:29",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\40.  Natal'ya Bardo - Alejandro (DJ Michelangelo Dance Edit) .mp3",""
"Natal'ya Bardo & DJ Katyusha","Alejandro (Extended Remix)","Piratskaj stancij","5:43",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\031 Natal'ya Bardo & DJ Katyusha - Alejandro (Extended Remix).mp3",""
"Stromae & Mc Zali","Alena Best","DiskKurort","3:45",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\099. Stromae & Mc Zali - Alena Best.mp3",""
"Pretty Boys From Saint Tropez feat. Mel Jade","Aliens (Block & Crown Extended)","Piratskaj stancij","6:43",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\090 Pretty Boys From Saint Tropez feat. Mel Jade - Aliens (Block & Crown Extended).mp3",""
"Dima Vasil'ev i Couple","Allilujya","MuzDlyaMol4","4:09",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\99 Dima Vasil'ev i Couple - Allilujya.mp3",""
"Dima Vasil'ev i Couple","Allilujya","SamSHikNaPer","4:09",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\59 Dima Vasil'ev i Couple - Allilujya.mp3",""
"DJ Cvetkoff & Valentin","Allo","LetoNaMuzTV","3:42",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\35 DJ Cvetkoff & Valentin - Allo.mp3",""
"Maxima","Allo","VzrHitParOtRusRad","3:57",2011,"Pop",70,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\040. Maxima - Allo.mp3",""
"Valentin","Allo","Vse Zvezdy 2011","3:32",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\025_Valentin - Allo.mp3",""
"Valentin","Allo","VzrHitParOtRusRad","3:32",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\164. Valentin - Allo.mp3",""
"MaXimA","Allo (Fidel Wicked mix)","MuzDlyaMol4","3:37",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\03 MaXimA - Allo (Fidel Wicked mix).mp3",""
"MaXimA","Allo (Fidel Wicked mix)","SamSHikNaPer","3:37",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\83 MaXimA - Allo (Fidel Wicked mix).mp3",""
"MaXimA","Allo (Fidel Wicked Radio Edit)","Piratskaj stancij","3:39",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\153 MaXimA - Allo (Fidel Wicked Radio Edit).mp3",""
"Maxima (D.i.p. Project)","Allo (Fidel Wicked Radio Edit)","LetoNaMuzTV","3:39",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\09 Maxima (D.i.p. Project) - Allo (Fidel Wicked Radio Edit).mp3",""
"MaXima","Allo (Fidel Wicked remix)","DiskKurort","5:55",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\101. MaXima - Allo (Fidel Wicked remix).mp3",""
"Shami feat. Timur","Allo Allo","Vse Zvezdy 2011","3:30",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\083_Shami feat. Timur - Allo Allo.mp3",""
"Jasper Forks","Alone","DiskKurort","3:11",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\096. Jasper Forks - Alone.mp3",""
"Jasper Forks","Alone (Radio Edit)","Vse Zvezdy 2011","3:15",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\026_Jasper Forks - Alone (Radio Edit).mp3",""
"Zara","Ameli","LetoNaMuzTV","3:33",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\02 Zara - Ameli.mp3",""
"Zara","Ameli","VzrHitParOtRusRad","3:33",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\195. Zara - Ameli.mp3",""
"Zara","Ameli (GASpromo Remix)","Piratskaj stancij","3:22",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\145 Zara - Ameli (GASpromo Remix).mp3",""
"Zara","Ameli (GASpromo Remix)","Vse Zvezdy 2011","3:22",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\190_Zara - Ameli (GASpromo Remix).mp3",""
"Irina Ortman","Amurchiki","VzrHitParOtRusRad","2:57",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\157. Irina Ortman - Amurchiki.mp3",""
"Kirillov Aleksandr","Angel","Slezy lyubvi","2:43",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\33. Kirillov Aleksandr - Angel X.mp3",""
"Mika N'yuton","Angel","HitNastSummer","3:00",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\52.  Mika N'yuton - Angel .mp3",""
"A-Lika & Korol Lir Ft. Dj Pomeha","Angel (Original Radio Mix)","XXXLVes2011","3:29",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\49 A-Lika & Korol Lir Ft. Dj Pomeha - Angel (Original Radio Mix).mp3",""
"DJ Kopernik","Angel (Radio mix)","Piratskaj stancij","3:29",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\055 DJ Kopernik - Angel (Radio mix).mp3",""
"Dj Mixmeister","Angel moy","Slezy lyubvi","3:57",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\84. Dj Mixmeister - Angel moy.mp3",""
"Krit Karina","Angel moy","Slezy lyubvi","3:19",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\73. Krit Karina - Angel moy.mp3",""
"DJ Nil","Angry Birds (Radio Club Mix)","Piratskaj stancij","3:19",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\162 DJ Nil - Angry Birds (Radio Club Mix).mp3",""
"Neon Trees","Animal","Vse Zvezdy 2011","3:29",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\187_Neon Trees - Animal.mp3",""
"Geo Da Silva and Alex Guesta feat. Leeliane","Another Toy (Luis Rondina Radio)","Vse Zvezdy 2011","3:43",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\082_Geo Da Silva and Alex Guesta feat. Leeliane - Another Toy (Luis Rondina Radio).mp3",""
"Tony Igy","Astronomia (DFM edit)","DiskKurort","3:02",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\176. Tony Igy - Astronomia (DFM edit).mp3",""
"Potap","Au","VzrHitParOtRusRad","3:47",2011,"Pop",70,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\165. Potap - Au.mp3",""
"Baramuda &amp; DJ Synchro","Away (Radio Mix)","Vse Zvezdy 2011","4:08",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\084_Baramuda &amp; DJ Synchro - Away (Radio Mix).mp3",""
"Gerasimova Alena","Bab.e leto","Slezy lyubvi","3:47",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\66. Gerasimova Alena - Bab.e leto.mp3",""
"ARTY","Baby v strazah (DJ Movskii Extended Edit)","Piratskaj stancij","4:23",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\151 ARTY - Baby v strazakh (DJ Movskii Extended Edit).mp3",""
"Deepcentral","Back 2 Life (Original Radio Edit)","Vse Zvezdy 2011","3:55",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\052_Deepcentral - Back 2 Life (Original Radio Edit).mp3",""
"George Thorogood","Bad To The Bone (DJ Denis Rublev & DJ Anton Radio Edit)","Piratskaj stancij","3:04",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\156 George Thorogood - Bad To The Bone (DJ Denis Rublev & DJ Anton Radio Edit).mp3",""
"Enjoy DJs","Bailando (DJ Nejtrino & DJ Stranger Radio Mix)","Piratskaj stancij","3:22",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\006 Enjoy DJs - Bailando (DJ Nejtrino & DJ Stranger Radio Mix).mp3",""
"Paradisio feat. Shelby Diaz","Bailando (Me Dices Adios) (Carribbean French Vocal Edit)","Vse Zvezdy 2011","3:29",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\193_Paradisio feat. Shelby Diaz - Bailando (Me Dices Adios) (Carribbean French Vocal Edit).mp3",""
"Aleksandr Barykin i Lena Lenina","Bal-maskarad","VzrHitParOtRusRad","3:52",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\082. Aleksandr Barykin i Lena Lenina - Bal-maskarad.mp3",""
"Arsenie (A-Style)","Bang Bang (Dj Miv Danse Remix)","Vse Zvezdy 2011","3:27",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\086_Arsenie (A-Style) - Bang Bang (Dj Miv Danse Remix).mp3",""
"Selena Gomez and The Scene","Bang Bang Bang","DiskKurort","3:15",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\DiskKurort\004. Selena Gomez and The Scene - Bang Bang Bang.mp3",""
"Dvinskoj Vladimir","Bankrot","Slezy lyubvi","2:32",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\12. Dvinskoy Vladimir - Bankrot.mp3",""
"Duck Sauce","Barbara Streisand","DiskKurort","4:32",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\198. Duck Sauce - Barbara Streisand.mp3",""
"Aqua","Barbie Girl (Remix 2011)","Piratskaj stancij","4:18",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\082 Aqua - Barbie Girl (Remix 2011).mp3",""
"Nervy","Batarei","VzrHitParOtRusRad","2:43",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\023. Nervy - Batarei.mp3",""
"Tiesto And Mark Knight feat. Dino","Beautiful World (Club Mix)","Piratskaj stancij","7:49",0,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\018 Tiesto And Mark Knight feat. Dino - Beautiful World (Club Mix).mp3",""
"K. Melody","Begi","MuzDlyaMol4","3:36",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\54 K. Melody - Begi.mp3",""
"K.Melody","Begi","SamSHikNaPer","3:36",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\04 K.Melody - Begi.mp3",""
"N Zadorozhnaya","Begi (V Bol'shom Gorode)","HitNastSummer","3:25",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\97.  N Zadorozhnaya - Begi (V Bol'shom Gorode) .mp3",""
"Alibi","Bej posudu","VzrHitParOtRusRad","3:19",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\133. Alibi - Bej posudu.mp3",""
"G. Leps","Bej Pryamo V Serdce","XXXLVes2011","3:09",2011,"Pop",20,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\25 G. Leps - Bej Pryamo V Serdce.mp3",""
"Refleks","Belaya metelica","HitNastSummer","3:35",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\71.  Refleks - Belaya metelica .mp3",""
"Reflex","Belaya Metelica","Tanceval_Dinamika","3:15",2011,"Pop",40,320,"K:\studio\musik\2011\_lat\_pop\Tanceval_Dinamika\11. Reflex - Belaya Metelica.mp3",""
"Tanya Panshina i Nikita (Quest Pistols)","Belaya nevesta","Vse Zvezdy 2011","4:21",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\129_Tanya Panshina i Nikita (Quest Pistols) - Belaya nevesta.mp3",""
"Freemasons feat. Wynter Gordon","Believer","Vse Zvezdy 2011","3:08",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\056_Freemasons feat. Wynter Gordon - Believer.mp3",""
"Chai Vdvoem","Beloe plate","DiskKurort","4:11",2011,"Pop",70,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\025. Chai Vdvoem - Beloe plate.mp3",""
"Delise (Dilajs)","Belye Rozy","XXXLVes2011","3:31",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\47 Delise (Dilajs) - Belye Rozy.mp3",""
"Loc-Dog & Siatria","Belye Sny","DiskKurort","3:48",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\147. Loc-Dog & Siatria - Belye Sny.mp3",""
"Loc-Dog & Siatria","Belye sny","MuzDlyaMol4","3:46",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\65 Loc-Dog & Siatria - Belye sny.mp3",""
"Loc-Dog & Siatria","Belye sny","SamSHikNaPer","3:46",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\65 Loc-Dog & Siatria - Belye sny.mp3",""
"Aeduard Romanyuta","Berega","VzrHitParOtRusRad","3:37",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\148. Aeduard Romanyuta - Berega.mp3",""
"Nikita","Bessonica","LetoNaMuzTV","2:46",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\43 Nikita - Bessonica.mp3",""
"Anna Guricheva","Bessonnica","HitNastSummer","2:35",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\09.  Anna Guricheva - Bessonnica .mp3",""
"Anna Guricheva","Bessonnica","Vse Zvezdy 2011","2:35",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\081_Anna Guricheva - Bessonnica.mp3",""
"Anna Guricheva","Bessonnica","VzrHitParOtRusRad","2:35",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\117. Anna Guricheva - Bessonnica.mp3",""
"Veronika Agapova","Bessonnica","Vse Zvezdy 2011","3:34",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\121_Veronika Agapova - Bessonnica.mp3",""
"Sogdiana & Raikhon","Bez nego","DiskKurort","3:21",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\129. Sogdiana & Raikhon - Bez nego.mp3",""
"Alisiya","Bez tebya","DiskKurort","2:45",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\161. Alisiya - Bez tebya.mp3",""
"Allysia","Bez tebya","MuzDlyaMol4","2:43",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\68 Allysia - Bez tebya.mp3",""
"Allysia","Bez tebya","SamSHikNaPer","2:43",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\68 Allysia - Bez tebya.mp3",""
"Allysia","Bez Tebya","XXXLVes2011","2:43",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\38 Allysia - Bez Tebya.mp3",""
"TEO","Bez tebya","Vse Zvezdy 2011","3:06",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\175_TEO - Bez tebya.mp3",""
"Alisiya","Bez Tebya (Original Mix)","XXXLVes2011","4:34",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\66 Alisiya - Bez Tebya (Original Mix).mp3",""
"Zabelin Vlad","Bez tebya ya propadu","Slezy lyubvi","3:37",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\13. Zabelin Vlad - Bez tebya ya propadu.mp3",""
"Goryachii Shokolad","Bez uma ot schastya","DiskKurort","3:40",2011,"Pop",70,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\093. Goryachii Shokolad - Bez uma ot schastya  .mp3",""
"Goryachij Shokolad","Bez uma ot schast'ya","HitNastSummer","3:48",2011,"Pop",70,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\79.  Goryachij Shokolad - Bez uma ot schast'ya .mp3",""
"Goryachij Shokolad","Bez uma ot schast'ya","VzrHitParOtRusRad","3:47",2011,"Pop",70,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\084. Goryachij Shokolad - Bez uma ot schast'ya.mp3",""
"Goryachij shokolad","Bez uma ot schast'ya (Kapler mix)","MuzDlyaMol4","3:39",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\00 Goryachij shokolad - Bez uma ot schast'ya (Kapler mix).mp3",""
"Goryachij shokolad","Bez uma ot schast'ya (Kapler mix)","SamSHikNaPer","3:39",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\60 Goryachij shokolad - Bez uma ot schast'ya (Kapler mix).mp3",""
"Goryachij Shokolad","Bez uma ot schast'ya (Kapler Radio Mix)","Piratskaj stancij","3:39",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\131 Goryachij Shokolad - Bez uma ot schast'ya (Kapler Radio Mix).mp3",""
"Goryachij Shokolad","Bez uma ot schast'ya (Kapler Radio Mix)","Vse Zvezdy 2011","3:39",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\041_Goryachij Shokolad - Bez uma ot schast'ya (Kapler Radio Mix).mp3",""
"Infiniti","Bezhat (Alex Menco Extended version)","DiskKurort","5:07",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\085. Infiniti - Bezhat (Alex Menco Extended version).mp3",""
"El Ray","Bezlimitnaya Lyubov'","Vse Zvezdy 2011","3:40",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\051_El Ray - Bezlimitnaya Lyubov'.mp3",""
"El Ray","Bezlimitnaya lyubov'","VzrHitParOtRusRad","3:40",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\092. El Ray - Bezlimitnaya lyubov'.mp3",""
"Lera Lera","Bezopasnyj Seks","XXXLVes2011","3:27",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\95 Lera Lera - Bezopasnyj Seks.mp3",""
"Natanika","Bezotvetnaya","Vse Zvezdy 2011","3:11",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\127_Natanika - Bezotvetnaya.mp3",""
"Masha Gojya","Bezumno Vlyublena","HitNastSummer","3:54",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\65.  Masha Gojya - Bezumno Vlyublena .mp3",""
"Sergej Lazarev","Bienie Serdca","LetoNaMuzTV","3:53",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\08 Sergej Lazarev - Bienie Serdca.mp3",""
"Dee Dee","Big Girl","DiskKurort","3:10",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\054. Dee Dee - Big Girl.mp3",""
"DJ Vengerov feat. Hi-Fi","Bilet (Remix)","LetoNaMuzTV","3:09",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\17 DJ Vengerov feat. Hi-Fi - Bilet (Remix).mp3",""
